fecha,mes,año,patente,km inicio,km termino,km recorrido,personal_id,cargo,turno,tipo he,horas extras,monto turno,monto he,monto a pagar
16-08-23,8.0,2023.0,CCPX 23,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
21-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
22-08-23,8.0,2023.0,HDWX 84,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
23-08-23,8.0,2023.0,BHWD 43,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
26-08-23,8.0,2023.0,HDXD 57,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
28-08-23,8.0,2023.0,BHWD 43,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
04-09-23,9.0,2023.0,KCGH 28,0.0,0.0,0.0,ADQ,conductor,dia,he dia,0.0,35000.0,0.0,35000.0
05-07-23,7.0,2023.0,HSBS 44,0.0,0.0,0.0,ADQ,tens,dia,he dia,0.0,35000.0,0.0,35000.0
31-07-23,7.0,2023.0,JSTG 66,0.0,0.0,0.0,ADQ,tens,dia,he dia,0.0,35000.0,0.0,35000.0
07-08-23,8.0,2023.0,FWJD 85,0.0,0.0,0.0,ADQ,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
17-08-23,8.0,2023.0,KCGH 28,0.0,0.0,0.0,ADQ,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
18-08-23,8.0,2023.0,HDXD 57,0.0,0.0,0.0,ADQ,conductor,dia,he dia,1.0,35000.0,2917.0,37917.0
15-07-23,7.0,2023.0,HDWX 84,250102.0,250102.0,0.0,ADQ,conductor,dia,he dia,1.0,35000.0,4375.5,39375.0
24-08-23,8.0,2023.0,HSBS 44,0.0,0.0,0.0,ADQ,conductor,dia,he dia,3.0,35000.0,8751.0,43751.0
01-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
04-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
10-07-23,7.0,2023.0,HDWX 84,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
11-07-23,7.0,2023.0,HDWX 84,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
12-07-23,7.0,2023.0,HDWX 84,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
17-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
19-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
20-07-23,7.0,2023.0,CCPX 23,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
25-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
26-07-23,7.0,2023.0,BHWD 43,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
27-07-23,7.0,2023.0,HDXD 57,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,0.0,35000.0
03-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,0.0,35000.0,1458.5,36458.0
13-07-23,7.0,2023.0,KCGH 28,0.0,0.0,0.0,CAR,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
14-07-23,7.0,2023.0,HDWX 84,0.0,0.0,0.0,CAR,tens,dia,he dia,1.0,35000.0,2917.0,37917.0
